Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Chicago, IL","Indianapolis, IN",4,Blue,41,Female,2,2003,29,9,Business travel,1,5,60,Eco,22,1/22/14,EV,FlyFast Airways Inc.,Indiana,Illinois,12,0,0,No,40,177,no,-86.145521,39.811262,-87.895427,41.827126
"Dallas, TX","New Orleans, LA",3,Platinum,79,Female,1,2008,23,10,Personal Travel,0,0,30,Eco,4,1/4/14,WN,Cheapseats Airlines Inc.,Louisiana,Texas,11,13,3,No,69,436,no,-90.143683,29.954653,-96.972001,32.812727
"Detroit, MI","New York, NY",2,Blue,67,Male,2,2011,38,3,Personal Travel,0,0,150,Eco,6,3/6/14,MQ,EnjoyFlying Air Services,New York,Michigan,13,51,36,No,85,502,yes,-73.970221,40.718357,-83.227554,42.490005
"Denver, CO","Chicago, IL",2,Blue,72,Female,1,2003,17,2,Personal Travel,0,0,20,Eco,7,2/7/14,OU,Oursin Airlines Inc.,Illinois,Colorado,7,10,6,No,132,888,yes,-87.895427,41.827126,-104.955096,39.710774
"Phoenix, AZ","San Diego, CA",4,Silver,27,Female,2,2010,20,9,Business travel,0,0,30,Eco Plus,11,2/11/14,WN,Cheapseats Airlines Inc.,California,Arizona,10,9,0,No,48,304,no,-117.128799,32.928728,-111.970041,33.494067
"St. Louis, MO","San Antonio, TX",4,Blue,18,Female,1,2008,28,14,Mileage tickets,6,30,35,Eco,5,2/5/14,WN,Cheapseats Airlines Inc.,Texas,Missouri,15,0,0,No,96,786,no,-98.475376,29.514399,-90.340926,38.630705
"Burlington, VT","New York, NY",3,Blue,26,Female,2,2009,13,2,Mileage tickets,0,0,50,Eco,4,2/4/14,B6,OnlyJets Airlines Inc.,New York,Vermont,9,2,0,No,46,266,no,-73.970221,40.718357,-73.147596,44.47408
"Minneapolis, MN","Atlanta, GA",3,Blue,67,Female,1,2010,28,1,Personal Travel,0,60,10,Eco,14,1/14/14,DL,Sigma Airlines Inc.,Georgia,Minnesota,7,0,1,No,145,907,no,-84.331858,33.824102,-93.2798,44.978156
"Los Angeles, CA","Miami, FL",4,Silver,53,Female,1,2007,33,16,Personal Travel,1,0,30,Eco,17,1/17/14,DL,Sigma Airlines Inc.,Florida,California,7,0,0,No,321,2342,no,-80.231428,26.175616,-118.104332,33.982668
"Denver, CO","Las Vegas, NV",2,Blue,52,Female,1,2010,36,6,Personal Travel,0,30,50,Eco,28,1/28/14,WN,Cheapseats Airlines Inc.,Nevada,Colorado,16,0,14,No,91,628,yes,-115.167218,36.134893,-104.955096,39.710774
"Anchorage, AK","Seattle, WA",3,Blue,45,Female,1,2004,46,8,Business travel,0,0,20,Eco,28,2/28/14,AS,FlyToSun Airlines Inc.,Washington,Alaska,21,26,0,No,188,1448,no,-122.274661,47.468409,-149.847166,61.167916
"Kansas City, MO","St. Louis, MO",5,Silver,63,Female,0,2010,10,7,Business travel,0,0,45,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,Missouri,Missouri,12,5,0,No,46,237,no,-90.340926,38.630705,-94.594897,39.039792
"Las Vegas, NV","El Paso, TX",4,Silver,48,Female,1,2006,20,22,Business travel,2,55,80,Eco Plus,25,1/25/14,WN,Cheapseats Airlines Inc.,Texas,Nevada,18,0,0,No,87,583,no,-106.389031,31.780239,-115.167218,36.134893
"Orlando, FL","Denver, CO",3,Blue,37,Male,1,2007,14,1,Business travel,2,120,45,Eco,10,2/10/14,OU,Oursin Airlines Inc.,Colorado,Florida,14,13,0,No,168,1546,no,-104.955096,39.710774,-81.411184,28.584434
"Albuquerque, NM","Dallas, TX",3,Silver,50,Female,2,2012,22,10,Personal Travel,3,5,70,Eco Plus,2,1/2/14,WN,Cheapseats Airlines Inc.,Texas,New Mexico,10,69,56,No,86,580,yes,-96.972001,32.812727,-106.628138,35.143367
"Alexandria, LA","Atlanta, GA",3,Silver,26,Male,1,2012,2,22,Personal Travel,1,25,60,Eco,16,1/16/14,EV,FlyFast Airways Inc.,Georgia,Louisiana,19,6,0,No,79,500,no,-84.331858,33.824102,-92.539847,31.298299
"Los Angeles, CA","San Jose, CA",2,Blue,63,Female,1,2005,14,3,Personal Travel,0,0,60,Eco,13,3/13/14,WN,Cheapseats Airlines Inc.,California,California,7,0,0,No,57,308,no,-121.945145,37.329845,-118.104332,33.982668
"San Francisco, CA","Redding, CA",5,Platinum,40,Female,2,2010,3,15,Business travel,2,75,195,Eco Plus,2,2/2/14,OO,Northwest Business Airlines Inc.,California,California,14,118,124,No,65,199,yes,-122.36344,40.582188,-122.383287,37.754645
"Charlotte, NC","Washington, DC",4,Blue,53,Female,1,2012,6,9,Business travel,0,90,60,Eco,27,1/27/14,US,Southeast Airlines Co.,Virginia,North Carolina,5,0,0,No,57,331,no,-77.18974,38.897394,-80.815826,35.249654
"San Francisco, CA","Seattle, WA",5,Silver,50,Female,1,2003,13,7,Business travel,0,35,50,Eco,4,2/4/14,AS,FlyToSun Airlines Inc.,Washington,California,7,0,0,No,97,679,no,-122.274661,47.468409,-122.383287,37.754645
"New York, NY","Columbus, OH",3,Silver,38,Female,1,2010,0,58,Personal Travel,2,30,15,Eco,15,1/15/14,MQ,EnjoyFlying Air Services,Ohio,New York,17,41,24,No,71,479,yes,-82.968532,40.021161,-73.970221,40.718357
"Boston, MA","New York, NY",4,Blue,49,Male,0,2006,3,3,Business travel,1,0,0,Business,16,2/16/14,B6,OnlyJets Airlines Inc.,New York,Massachusetts,13,0,0,No,42,187,no,-73.970221,40.718357,-71.140708,42.373132
"Atlanta, GA","Wilmington, NC",4,Blue,51,Female,1,2004,46,10,Business travel,0,140,70,Eco,26,2/26/14,DL,Sigma Airlines Inc.,North Carolina,Georgia,6,0,0,No,76,377,no,-77.896334,34.216582,-84.331858,33.824102
"Denver, CO","Detroit, MI",3,Blue,65,Female,2,2007,21,9,Business travel,0,15,30,Eco,28,1/28/14,WN,Cheapseats Airlines Inc.,Michigan,Colorado,6,0,0,No,165,1123,no,-83.227554,42.490005,-104.955096,39.710774
"Pensacola, FL","Houston, TX",3,Blue,50,Male,1,2009,5,9,Business travel,0,185,375,Eco,30,3/30/14,EV,FlyFast Airways Inc.,Texas,Florida,9,0,0,No,70,489,no,-95.393531,29.784308,-87.253422,30.48527
"Denver, CO","Idaho Falls, ID",2,Platinum,74,Male,1,2003,24,2,Personal Travel,0,0,150,Eco,23,3/23/14,OO,Northwest Business Airlines Inc.,Idaho,Colorado,13,0,3,No,66,458,no,-112.00085,43.495177,-104.955096,39.710774
"Phoenix, AZ","Houston, TX",4,Blue,51,Female,1,2012,4,5,Business travel,0,0,30,Eco,10,1/10/14,WN,Cheapseats Airlines Inc.,Texas,Arizona,14,34,39,No,161,1020,yes,-95.393531,29.784308,-111.970041,33.494067
"Detroit, MI","Philadelphia, PA",4,Gold,35,Female,2,2003,14,2,Mileage tickets,0,0,45,Eco,17,1/17/14,DL,Sigma Airlines Inc.,Pennsylvania,Michigan,9,5,1,No,76,453,no,-75.298163,39.973331,-83.227554,42.490005
"Salt Lake City, UT","New York, NY",4,Blue,30,Male,2,2009,12,5,Business travel,0,5,45,Eco Plus,15,1/15/14,DL,Sigma Airlines Inc.,New York,Utah,7,0,0,No,267,1990,no,-73.970221,40.718357,-111.929515,40.640838
"Williston, ND","Denver, CO",3,Blue,26,Male,2,2007,16,3,Mileage tickets,3,243,40,Eco,17,1/17/14,EV,FlyFast Airways Inc.,Colorado,North Dakota,19,16,17,No,94,576,yes,-104.955096,39.710774,-103.63273,48.165669
"Lubbock, TX","Houston, TX",3,Silver,39,Female,1,2004,3,17,Business travel,2,0,30,Eco,15,1/15/14,EV,FlyFast Airways Inc.,Texas,Texas,17,0,0,No,72,458,no,-95.393531,29.784308,-101.893174,33.559247
"Cleveland, OH","Baltimore, MD",4,Blue,24,Male,1,2012,25,2,Business travel,2,0,55,Eco,8,3/8/14,WN,Cheapseats Airlines Inc.,Maryland,Ohio,12,0,5,No,62,314,no,-76.64776,39.234099,-81.605443,41.443638
"Atlanta, GA","Richmond, VA",3,Blue,38,Female,1,2006,22,15,Business travel,4,84,90,Eco,28,3/28/14,DL,Sigma Airlines Inc.,Virginia,Georgia,6,0,0,No,81,481,no,-77.487983,37.477942,-84.331858,33.824102
"Los Angeles, CA","Columbus, OH",2,Blue,66,Female,2,2008,39,5,Personal Travel,0,0,40,Eco,22,1/22/14,AA,Paul Smith Airlines Inc.,Ohio,California,18,16,20,No,286,1995,yes,-82.968532,40.021161,-118.104332,33.982668
"Memphis, TN","Chicago, IL",4,Silver,48,Female,1,2012,10,18,Business travel,2,0,120,Eco,4,3/4/14,WN,Cheapseats Airlines Inc.,Illinois,Tennessee,8,0,0,No,75,480,no,-87.895427,41.827126,-89.917857,35.095071
"Atlanta, GA","Houston, TX",4,Blue,23,Male,2,2010,4,4,Business travel,0,0,60,Eco,18,3/18/14,FL,FlyHere Airways,Texas,Georgia,6,0,0,No,85,696,no,-95.393531,29.784308,-84.331858,33.824102
"Chicago, IL","Houston, TX",2,Blue,30,Female,2,2010,40,1,Personal Travel,2,0,30,Business,9,3/9/14,OU,Oursin Airlines Inc.,Texas,Illinois,14,63,58,No,122,925,yes,-95.393531,29.784308,-87.895427,41.827126
"Orlando, FL","Houston, TX",4,Silver,41,Female,1,2012,13,9,Business travel,1,10,60,Eco,27,2/27/14,WN,Cheapseats Airlines Inc.,Texas,Florida,17,9,0,No,93,849,no,-95.393531,29.784308,-81.411184,28.584434
"Tucson, AZ","Salt Lake City, UT",4,Silver,51,Female,1,2010,37,4,Business travel,0,15,105,Eco Plus,24,2/24/14,OO,Northwest Business Airlines Inc.,Utah,Arizona,9,0,0,No,89,601,no,-111.929515,40.640838,-110.946141,32.254891
"Killeen, TX","Houston, TX",4,Silver,61,Female,1,2008,19,1,Business travel,0,0,51,Eco,2,2/2/14,EV,FlyFast Airways Inc.,Texas,Texas,14,NA,NA,Yes,NA,166,no,-95.393531,29.784308,-97.751581,31.094566
"Baltimore, MD","Charlotte, NC",5,Silver,64,Male,1,2010,2,4,Business travel,0,28,12,Eco,12,3/12/14,WN,Cheapseats Airlines Inc.,North Carolina,Maryland,7,0,0,No,57,361,no,-80.815826,35.249654,-76.64776,39.234099
"Sacramento, CA","Portland, OR",1,Blue,26,Female,1,2010,1,24,Mileage tickets,1,0,110,Eco Plus,19,1/19/14,WN,Cheapseats Airlines Inc.,Oregon,California,19,10,18,No,73,479,yes,-122.651087,45.520404,-121.324669,38.638578
"San Francisco, CA","Philadelphia, PA",2,Blue,63,Female,1,2010,23,7,Business travel,0,0,0,Eco,23,3/23/14,US,Southeast Airlines Co.,Pennsylvania,California,7,0,0,No,362,2521,no,-75.298163,39.973331,-122.383287,37.754645
"Atlanta, GA","Los Angeles, CA",4,Silver,26,Male,2,2005,3,10,Personal Travel,0,30,60,Eco,20,2/20/14,DL,Sigma Airlines Inc.,California,Georgia,14,0,0,No,207,1947,no,-118.104332,33.982668,-84.331858,33.824102
"Los Angeles, CA","Houston, TX",2,Blue,73,Male,1,2003,22,6,Personal Travel,0,0,70,Eco,1,3/1/14,OU,Oursin Airlines Inc.,Texas,California,17,29,29,No,203,1379,yes,-95.393531,29.784308,-118.104332,33.982668
"Salt Lake City, UT","San Jose, CA",2,Blue,32,Female,1,2006,10,42,Personal Travel,2,0,40,Eco,8,1/8/14,OO,Northwest Business Airlines Inc.,California,Utah,6,0,0,No,97,584,no,-121.945145,37.329845,-111.929515,40.640838
"Miami, FL","New York, NY",5,Silver,43,Male,1,2008,16,7,Business travel,3,45,150,Eco,31,1/31/14,DL,Sigma Airlines Inc.,New York,Florida,13,54,21,No,154,1096,yes,-73.970221,40.718357,-80.231428,26.175616
"Atlanta, GA","Washington, DC",2,Blue,16,Male,1,2008,12,5,Personal Travel,1,0,60,Eco,21,1/21/14,DL,Sigma Airlines Inc.,Virginia,Georgia,14,18,47,No,88,534,yes,-77.18974,38.897394,-84.331858,33.824102
"Syracuse, NY","New York, NY",3,Blue,23,Male,2,2012,49,10,Business travel,0,0,30,Eco,5,2/5/14,B6,OnlyJets Airlines Inc.,New York,New York,9,NA,NA,Yes,NA,209,no,-73.970221,40.718357,-76.164008,43.090425
"Alexandria, LA","Atlanta, GA",2,Blue,80,Female,1,2011,24,3,Personal Travel,0,0,120,Eco,18,1/18/14,EV,FlyFast Airways Inc.,Georgia,Louisiana,10,0,0,No,78,500,no,-84.331858,33.824102,-92.539847,31.298299
"Minneapolis, MN","Chicago, IL",3,Blue,43,Female,1,2003,19,5,Business travel,1,0,35,Eco,3,2/3/14,OU,Oursin Airlines Inc.,Illinois,Minnesota,21,46,40,No,57,334,yes,-87.895427,41.827126,-93.2798,44.978156
"Bakersfield, CA","Houston, TX",3,Silver,22,Female,2,2011,0,1,Business travel,0,0,30,Eco,5,1/5/14,OO,Northwest Business Airlines Inc.,Texas,California,9,0,25,No,216,1428,yes,-95.393531,29.784308,-119.030559,35.362282
"Wichita, KS","Chicago, IL",3,Silver,42,Female,1,2006,5,16,Business travel,2,0,30,Eco,16,3/16/14,OO,Northwest Business Airlines Inc.,Illinois,Kansas,8,0,0,No,96,588,no,-87.895427,41.827126,-97.327333,37.679735
"Cincinnati, OH","Atlanta, GA",4,Silver,36,Female,1,2004,11,28,Personal Travel,1,0,150,Eco,9,2/9/14,DL,Sigma Airlines Inc.,Georgia,Kentucky,12,0,0,No,60,373,no,-84.331858,33.824102,-84.462043,39.185505
"Dallas, TX","Birmingham, AL",4,Blue,26,Male,1,2004,61,3,Business travel,1,0,60,Eco,1,3/1/14,WN,Cheapseats Airlines Inc.,Alabama,Texas,14,3,0,No,94,587,no,-86.791974,33.469107,-96.972001,32.812727
"Baltimore, MD","Denver, CO",4,Blue,42,Male,2,2010,18,9,Business travel,1,5,75,Eco Plus,14,3/14/14,OU,Oursin Airlines Inc.,Colorado,Maryland,19,59,46,No,167,1491,yes,-104.955096,39.710774,-76.64776,39.234099
"Kansas City, MO","Chicago, IL",3,Blue,37,Female,1,2005,23,6,Business travel,2,30,100,Eco,7,1/7/14,MQ,EnjoyFlying Air Services,Illinois,Missouri,17,75,69,No,68,403,yes,-87.895427,41.827126,-94.594897,39.039792
"Salt Lake City, UT","Phoenix, AZ",4,Blue,52,Male,0,2010,19,6,Business travel,0,0,12,Eco,18,1/18/14,US,Southeast Airlines Co.,Arizona,Utah,17,0,0,No,73,507,no,-111.970041,33.494067,-111.929515,40.640838
"Houston, TX","Laredo, TX",3,Blue,25,Female,2,2003,4,11,Business travel,1,0,0,Eco,18,1/18/14,EV,FlyFast Airways Inc.,Texas,Texas,10,0,0,No,50,301,no,-99.477843,27.535328,-95.393531,29.784308
"Miami, FL","Philadelphia, PA",4,Silver,28,Female,2,2006,15,4,Business travel,2,285,80,Eco,8,1/8/14,US,Southeast Airlines Co.,Pennsylvania,Florida,7,0,2,No,161,1013,no,-75.298163,39.973331,-80.231428,26.175616
"Seattle, WA","Los Angeles, CA",4,Blue,49,Male,0,2004,32,36,Business travel,1,0,60,Eco,14,2/14/14,VX,Cool&Young Airlines Inc.,California,Washington,19,9,4,No,134,954,no,-118.104332,33.982668,-122.274661,47.468409
"Denver, CO","Seattle, WA",4,Silver,38,Male,0,2007,0,9,Personal Travel,0,0,10,Eco,28,2/28/14,OU,Oursin Airlines Inc.,Washington,Colorado,5,0,0,No,123,1024,no,-122.274661,47.468409,-104.955096,39.710774
"Kahului, HI","Los Angeles, CA",2,Blue,29,Female,2,2003,6,9,Personal Travel,3,125,120,Eco,12,2/12/14,OU,Oursin Airlines Inc.,California,Hawaii,13,22,31,No,332,2486,yes,-118.104332,33.982668,-156.477892,20.886428
"El Paso, TX","Houston, TX",2,Blue,35,Female,1,2010,1,14,Business travel,3,100,60,Eco Plus,25,2/25/14,EV,FlyFast Airways Inc.,Texas,Texas,12,69,64,No,108,667,yes,-95.393531,29.784308,-106.389031,31.780239
"Amarillo, TX","Houston, TX",2,Blue,16,Female,2,2008,10,10,Personal Travel,4,0,29,Eco,17,3/17/14,EV,FlyFast Airways Inc.,Texas,Texas,14,0,0,No,80,517,no,-95.393531,29.784308,-101.849137,35.197528
"Baltimore, MD","Minneapolis, MN",3,Silver,33,Female,1,2003,22,20,Business travel,2,45,90,Eco,13,1/13/14,DL,Sigma Airlines Inc.,Minnesota,Maryland,8,0,0,No,122,936,no,-93.2798,44.978156,-76.64776,39.234099
"Houston, TX","Little Rock, AR",4,Silver,33,Female,1,2003,0,6,Business travel,0,0,0,Eco,5,1/5/14,EV,FlyFast Airways Inc.,Arkansas,Texas,6,0,0,No,68,374,no,-92.321221,34.756564,-95.393531,29.784308
"Orlando, FL","New Orleans, LA",3,Platinum,33,Female,1,2009,0,24,Mileage tickets,1,0,150,Eco,30,1/30/14,WN,Cheapseats Airlines Inc.,Louisiana,Florida,12,19,21,No,78,551,yes,-90.143683,29.954653,-81.411184,28.584434
"Washington, DC","New York, NY",4,Blue,40,Male,1,2007,7,3,Business travel,2,0,90,Eco Plus,25,3/25/14,EV,FlyFast Airways Inc.,New York,Virginia,6,0,0,No,54,228,no,-73.970221,40.718357,-77.18974,38.897394
"San Diego, CA","Las Vegas, NV",3,Blue,22,Male,1,2006,12,38,Personal Travel,2,0,140,Eco,12,2/12/14,WN,Cheapseats Airlines Inc.,Nevada,California,20,0,0,No,43,258,no,-115.167218,36.134893,-117.128799,32.928728
"Las Vegas, NV","Seattle, WA",3,Blue,17,Male,1,2010,13,4,Business travel,1,0,35,Eco,6,3/6/14,AS,FlyToSun Airlines Inc.,Washington,Nevada,12,8,2,No,118,867,no,-122.274661,47.468409,-115.167218,36.134893
"Missoula, MT","Salt Lake City, UT",3,Blue,66,Female,1,2008,51,8,Personal Travel,0,0,35,Eco,28,3/28/14,OO,Northwest Business Airlines Inc.,Utah,Montana,17,0,0,No,71,436,no,-111.929515,40.640838,-114.034222,46.87396
"Los Angeles, CA","Salt Lake City, UT",3,Blue,59,Female,1,2006,11,3,Personal Travel,0,225,105,Eco,25,3/25/14,DL,Sigma Airlines Inc.,Utah,California,16,0,0,No,85,590,no,-111.929515,40.640838,-118.104332,33.982668
"San Antonio, TX","Chicago, IL",3,Blue,56,Female,2,2003,7,8,Personal Travel,1,10,75,Eco,13,1/13/14,WN,Cheapseats Airlines Inc.,Illinois,Texas,9,0,2,No,160,1036,no,-87.895427,41.827126,-98.475376,29.514399
"Sacramento, CA","Los Angeles, CA",3,Blue,50,Male,1,2010,9,6,Business travel,0,0,18,Eco,31,3/31/14,WN,Cheapseats Airlines Inc.,California,California,16,19,19,No,62,373,yes,-118.104332,33.982668,-121.324669,38.638578
"Philadelphia, PA","Las Vegas, NV",4,Blue,21,Male,1,2009,42,6,Mileage tickets,1,10,165,Eco,8,1/8/14,US,Southeast Airlines Co.,Nevada,Pennsylvania,22,0,0,No,245,2176,no,-115.167218,36.134893,-75.298163,39.973331
"Minneapolis, MN","Detroit, MI",3,Blue,34,Female,2,2008,12,32,Business travel,3,75,15,Eco,8,1/8/14,DL,Sigma Airlines Inc.,Michigan,Minnesota,21,18,17,No,91,528,yes,-83.227554,42.490005,-93.2798,44.978156
"Colorado Springs, CO","Denver, CO",3,Silver,48,Female,1,2010,6,2,Personal Travel,0,0,135,Eco,18,2/18/14,OO,Northwest Business Airlines Inc.,Colorado,Colorado,18,0,32,No,16,73,yes,-104.955096,39.710774,-104.77064,38.872952
"San Jose, CA","Los Angeles, CA",4,Silver,54,Female,1,2007,21,8,Personal Travel,0,120,30,Eco,5,3/5/14,WN,Cheapseats Airlines Inc.,California,California,8,0,3,No,55,308,no,-118.104332,33.982668,-121.945145,37.329845
"Minneapolis, MN","Detroit, MI",4,Blue,39,Female,1,2012,13,4,Business travel,0,0,90,Business,3,3/3/14,DL,Sigma Airlines Inc.,Michigan,Minnesota,19,0,7,No,105,528,yes,-83.227554,42.490005,-93.2798,44.978156
"Chicago, IL","Houston, TX",3,Blue,79,Female,1,2009,27,3,Personal Travel,0,0,120,Eco,11,3/11/14,OU,Oursin Airlines Inc.,Texas,Illinois,20,NA,NA,Yes,NA,925,no,-95.393531,29.784308,-87.895427,41.827126
"Oklahoma City, OK","Dallas, TX",1,Blue,33,Male,2,2012,0,5,Mileage tickets,0,0,0,Eco,31,1/31/14,WN,Cheapseats Airlines Inc.,Texas,Oklahoma,8,3,2,No,37,181,no,-96.972001,32.812727,-97.524305,35.504826
"Houston, TX","Phoenix, AZ",2,Blue,17,Female,3,2008,22,4,Personal Travel,1,0,30,Eco,19,3/19/14,WN,Cheapseats Airlines Inc.,Arizona,Texas,7,63,58,No,121,1020,yes,-111.970041,33.494067,-95.393531,29.784308
"Tulsa, OK","Chicago, IL",4,Blue,43,Male,1,2003,56,3,Business travel,2,0,0,Eco,12,3/12/14,WN,Cheapseats Airlines Inc.,Illinois,Oklahoma,9,0,0,No,91,583,no,-87.895427,41.827126,-95.901334,36.105449
"Salt Lake City, UT","Portland, OR",3,Blue,61,Male,1,2007,20,12,Personal Travel,2,4,40,Eco,19,2/19/14,DL,Sigma Airlines Inc.,Oregon,Utah,16,0,0,No,80,630,no,-122.651087,45.520404,-111.929515,40.640838
"South Bend, IN","Minneapolis, MN",4,Blue,36,Male,1,2004,33,28,Business travel,3,5,30,Eco,19,1/19/14,OO,Northwest Business Airlines Inc.,Minnesota,Indiana,20,0,0,No,58,411,no,-93.2798,44.978156,-86.201743,41.714357
"Chicago, IL","Buffalo, NY",3,Blue,18,Female,1,2005,4,10,Business travel,1,60,15,Eco,11,2/11/14,OU,Oursin Airlines Inc.,New York,Illinois,7,0,5,No,81,473,no,-78.823675,42.92493,-87.895427,41.827126
"Denver, CO","Gillette, WY",5,Platinum,36,Male,1,2004,3,35,Personal Travel,3,0,60,Eco,5,2/5/14,OO,Northwest Business Airlines Inc.,Wyoming,Colorado,6,81,70,No,71,313,yes,-105.484013,44.273303,-104.955096,39.710774
"Indianapolis, IN","Salt Lake City, UT",3,Blue,19,Male,1,2011,26,4,Business travel,1,0,60,Eco,25,1/25/14,DL,Sigma Airlines Inc.,Utah,Indiana,17,0,0,No,155,1355,no,-111.929515,40.640838,-86.145521,39.811262
"Houston, TX","Memphis, TN",4,Blue,60,Male,1,2004,20,6,Business travel,0,0,100,Business,27,3/27/14,EV,FlyFast Airways Inc.,Tennessee,Texas,9,0,0,No,87,468,no,-89.917857,35.095071,-95.393531,29.784308
"Sacramento, CA","San Diego, CA",4,Blue,25,Male,1,2006,30,2,Mileage tickets,0,2,20,Eco,28,2/28/14,WN,Cheapseats Airlines Inc.,California,California,11,13,0,No,67,480,no,-117.128799,32.928728,-121.324669,38.638578
"Salt Lake City, UT","Tucson, AZ",2,Blue,71,Female,1,2003,50,7,Business travel,0,0,40,Eco,15,3/15/14,OO,Northwest Business Airlines Inc.,Arizona,Utah,16,1,1,No,100,601,no,-110.946141,32.254891,-111.929515,40.640838
"San Diego, CA","San Francisco, CA",4,Blue,45,Male,1,2009,8,10,Business travel,1,0,95,Eco,7,2/7/14,VX,Cool&Young Airlines Inc.,California,California,15,8,10,No,61,447,yes,-122.383287,37.754645,-117.128799,32.928728
"Chicago, IL","Tampa, FL",4,Blue,38,Male,1,2011,8,1,Business travel,0,0,20,Eco,22,3/22/14,OU,Oursin Airlines Inc.,Florida,Illinois,21,6,0,No,147,1012,no,-82.513188,28.006247,-87.895427,41.827126
"Washington, DC","Chicago, IL",2,Blue,43,Male,2,2005,49,10,Personal Travel,0,0,25,Eco,27,1/27/14,OU,Oursin Airlines Inc.,Illinois,Virginia,13,0,0,No,76,612,no,-87.895427,41.827126,-77.18974,38.897394
"Detroit, MI","Charlotte, NC",4,Gold,54,Female,1,2006,22,3,Mileage tickets,0,3,90,Eco,27,3/27/14,DL,Sigma Airlines Inc.,North Carolina,Michigan,19,0,0,No,83,500,no,-80.815826,35.249654,-83.227554,42.490005
"Kansas City, MO","Las Vegas, NV",3,Gold,76,Male,2,2007,40,4,Personal Travel,0,0,35,Eco,16,3/16/14,WN,Cheapseats Airlines Inc.,Nevada,Missouri,6,0,0,No,148,1139,no,-115.167218,36.134893,-94.594897,39.039792
"Chicago, IL","Topeka, KS",4,Blue,34,Male,2,2010,21,32,Mileage tickets,4,0,45,Eco,13,1/13/14,EV,FlyFast Airways Inc.,Kansas,Illinois,6,0,0,No,54,459,no,-95.692459,39.04168,-87.895427,41.827126
"Cleveland, OH","Tampa, FL",4,Blue,24,Female,2,2008,12,8,Mileage tickets,0,0,30,Eco Plus,20,2/20/14,OU,Oursin Airlines Inc.,Florida,Ohio,11,0,0,No,125,927,no,-82.513188,28.006247,-81.605443,41.443638
"San Francisco, CA","Portland, OR",4,Silver,27,Male,1,2012,5,5,Mileage tickets,0,0,330,Eco,20,2/20/14,OO,Northwest Business Airlines Inc.,Oregon,California,11,0,5,No,86,550,no,-122.651087,45.520404,-122.383287,37.754645
"Miami, FL","Key West, FL",4,Blue,30,Male,1,2007,36,8,Business travel,1,70,60,Eco,15,2/15/14,MQ,EnjoyFlying Air Services,Florida,Florida,11,0,0,No,31,125,no,-81.751371,24.569654,-80.231428,26.175616
"Houston, TX","Denver, CO",2,Blue,61,Male,1,2006,8,5,Business travel,0,0,180,Eco,24,2/24/14,F9,GoingNorth Airlines Inc.,Colorado,Texas,14,0,6,No,116,862,yes,-104.955096,39.710774,-95.393531,29.784308
"Tulsa, OK","St. Louis, MO",4,Blue,52,Male,1,2007,35,3,Business travel,0,0,45,Eco,24,2/24/14,WN,Cheapseats Airlines Inc.,Missouri,Oklahoma,12,0,0,No,59,351,no,-90.340926,38.630705,-95.901334,36.105449
"Columbus, OH","Chicago, IL",3,Blue,79,Female,1,2008,38,4,Personal Travel,0,0,95,Eco,31,3/31/14,OO,Northwest Business Airlines Inc.,Illinois,Ohio,7,0,0,No,48,296,no,-87.895427,41.827126,-82.968532,40.021161
"Atlanta, GA","South Bend, IN",2,Blue,33,Female,2,2005,8,39,Personal Travel,1,0,60,Eco,15,1/15/14,EV,FlyFast Airways Inc.,Indiana,Georgia,12,1,9,No,95,566,yes,-86.201743,41.714357,-84.331858,33.824102
"Dallas, TX","Amarillo, TX",5,Blue,30,Male,2,2012,13,1,Business travel,4,15,90,Business,23,3/23/14,WN,Cheapseats Airlines Inc.,Texas,Texas,13,0,0,No,49,323,no,-101.849137,35.197528,-96.972001,32.812727
"Atlanta, GA","Dayton, OH",4,Silver,55,Female,1,2006,15,3,Business travel,2,0,30,Eco,4,1/4/14,DL,Sigma Airlines Inc.,Ohio,Georgia,16,22,27,No,81,432,yes,-84.168145,39.754911,-84.331858,33.824102
"Las Vegas, NV","Portland, OR",4,Silver,61,Male,0,2004,27,4,Personal Travel,0,27,15,Eco,13,2/13/14,WN,Cheapseats Airlines Inc.,Oregon,Nevada,12,177,178,No,99,763,yes,-122.651087,45.520404,-115.167218,36.134893
"Bozeman, MT","Denver, CO",2,Blue,53,Male,2,2004,13,9,Business travel,0,0,20,Eco,10,3/10/14,OO,Northwest Business Airlines Inc.,Colorado,Montana,14,31,25,No,84,524,yes,-104.955096,39.710774,-111.057553,45.683919
